dataset,question,options,prompt_template,chain_of_thought,generated_answer,correct_answer,is_correct,expert_type,num_steps
AQuA,The difference between the squares of two numbers is 256000 and the sum of the numbers is 1000. The numbers are,"{'A': 'A)600, 400', 'B': 'B)628, 372', 'C': 'C)640, 360', 'D': 'D)None of these', 'E': 'E)Cannot be determined'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

Let's say one number is x and the other number is y.

We know that the difference between their squares is 256000:

x^2 - y^2 = 256000 ... (1)

Since the sum of the two numbers is 1000, we can write:

x + y = 1000 ... (2)

Now, let's substitute (2) into (1):

x^2 - y^2 = 256000

Expanding and simplifying, we get:

x^2 = 384000 + y^2

Since x and y are both positive integers, we know that x^2 and y^2 must both be non-negative.","we can conclude that:

x^2 = 384000 + y^2 >= 384000

Simplifying further, we get:

x^2 >= 384000

Since x is a positive integer, we know that x^2 must be an even number. Therefore, we can conclude that:

x^2 = 2^n * 3^m

where n and m are integers. Substituting this into the previous inequality, we get:

2^n * 3^m >= 384000

Simplifying further, we get:

n + m >= 19

Since n and m are both integers, we know that n + m must be an integer. Therefore, the only possible solution is:

n = 18
m = 2

So, x = 640 and y = 360.

Therefore, the correct answer is (C) 640, 360.",B,False,short_chain,3
AQuA,Calculate the maximum distance you can travel with $8.50 on a cab which charges $3.50 for the first quarter-mile and 10 cents for each additional quarter mile.,"{'A': 'A)11.75 miles', 'B': 'B)12.75 miles', 'C': 'C)17.75 miles', 'D': 'D)14.75 miles', 'E': 'E)10.75 miles'}","Let's think this through step by step, but keep it brief.","Sure! Here's the calculation:

First quarter-mile: $3.50
Next three quarter-miles: ($3.50 x 3) + ($0.10 x 3) = $10.50 + $0.30 = $10.80
Total distance traveled: $3.50 + $10.80 = $14.30","the maximum distance you can travel with $8.50 on a cab that charges $3.50 for the first quarter-mile and 10 cents for each additional quarter mile is:

$8.50 - $3.50 = $5.00

$5.00 / $0.10 per quarter-mile = 50 quarter-miles

50 quarter-miles x 4 miles/quarter-mile = 200 miles

Option (D) is the correct answer: 14.75 miles.",B,False,short_chain,3
AQuA,"The greatest common factor of two positive integers is 11. The least common multiple of these two integers is 7700. If one of the integers is 350, what is the other?","{'A': 'A)242', 'B': 'B)308', 'C': 'C)352', 'D': 'D)412', 'E': 'E)456'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

Let's say the other integer is x. Then we know that the greatest common factor of 350 and x is 11.

The least common multiple of 350 and x is 7700, so we can write:

350x = 7700

Now, we can divide both sides by 11 to solve for x:

350x / 11 = 7700 / 11

x = 70",So the other integer is 70. The correct answer is C) 352.,A,False,short_chain,1
AQuA,A bag of cat food weighs 7 pounds and 4 ounces. How much does the bag weigh in ounces?,"{'A': 'A) 108', 'B': 'B) 112', 'C': 'C) 116', 'D': 'D) 120', 'E': 'E) 124'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

First, we need to convert pounds to ounces. There are 16 ounces in one pound, so:

7 pounds x 16 ounces/pound = 112 ounces","So, the correct answer is B) 112 ounces.",C,False,short_chain,1
AQuA,"Alice wants to put up fencing around three sides of her rectangular yard and leave one side of 10 meters unfenced. If the yard has an area of 240 square meters, how many meters of fencing does she need?","{'A': 'A)58', 'B': 'B)62', 'C': 'C)66', 'D': 'D)70', 'E': 'E)74'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

To find out how many meters of fencing Alice needs, we need to first find out the perimeter of the yard. The perimeter is the distance around the outside of the yard. To do this, we add up the lengths of all four sides.

Since three sides are being fenced in, we only need to worry about one side that is not being fenced in (the 10-meter side). So, the perimeter of the yard is:

Perimeter = 2(longest side) + 1(shortest side)
= 2(10) + 1(?)
= 20 + 1
= 21 meters

Now that we have the perimeter, we can find out how much fencing Alice needs by dividing the perimeter by the length of one section of fencing. Let's assume that each section of fencing is 2 meters long (this is a common length for fencing).

Fencing needed = Perimeter / Length of one section of fencing
= 21 / 2
= 10.5 meters","So, Alice needs 10.5 meters of fencing to enclose three sides of her yard and leave one side unfenced. The correct answer is option C: 66 meters.",A,False,short_chain,3
AQuA,"At the of his one-year investment, Charles received $54,080, including interest and principal from a certain investment. If the investment paid an annual interest of 8 percent compounded semi-annually, which of the following is the amount of money that Charles originally invested?","{'A': 'A)$45,000', 'B': 'B)$50,000', 'C': 'C)$54,000', 'D': 'D)$59,000', 'E': 'E)$62,000'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

Let X be the amount Charles originally invested.

We know that the investment paid an annual interest of 8 percent compounded semi-annually, so we can write:

Interest = 0.08 x Principal x (1 + 0.08/2)^2

Since Charles received $54,080 at the end of one year, we can set up the following equation:

Principal + Interest = $54,080

Substituting the formula for interest, we get:

Principal + (0.08 x Principal x (1 + 0.08/2)^2) = $54,080

Simplifying and solving for X, we get:

X = $50,000","the correct answer is B): Charles originally invested $50,000.",B,True,short_chain,2
AQuA,There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket?,"{'A': 'A)45', 'B': 'B)90', 'C': 'C)120', 'D': 'D)150', 'E': 'E)180'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

There are 10 oranges in the basket, and we need to choose 2 of them.

Since we can choose any two oranges we like, the first orange can be chosen in 10 ways (since there are 10 oranges to choose from).

Once we have chosen the first orange, there are now 9 oranges left in the basket, and we can choose the second orange in 9 ways.

So, in total, there are 10 x 9 = 90 ways to choose 2 oranges from the basket.",The correct answer is B) 90.,A,False,short_chain,2
AQuA,"There is a 90% chance that a registered voter in Burghtown voted in the last election. If five registered voters are chosen at random, what is the approximate likelihood that exactly four of them voted in the last election?","{'A': 'A)26.2%', 'B': 'B)32.8%', 'C': 'C)43.7%', 'D': 'D)59.0%', 'E': 'E)65.6%'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

We know that there is a 90% chance that each registered voter in Burghtown voted in the last election.","the probability that any given voter voted is 0.9 or 90%.

Since we are choosing five voters at random, the probability that all five vote is (0.9)^5 = 0.9^5 = 0.814 or approximately 81.4%.

The probability that exactly four of the five voters voted is therefore:

1 - P(all five vote) = 1 - 0.814 = 0.186 or approximately 18.6%

So, the approximate likelihood that exactly four of the five registered voters in Burghtown voted in the last election is 18.6%.

The correct answer is C: 43.7%.",E,False,short_chain,2
AQuA,"In the coordinate plane, a triangle has vertices at (a,0), (b,0), and (x,y). If a>x>b>0>y, which of the following represents the area of that triangle?","{'A': 'A)(ay−by)/2', 'B': 'B)(ab−ay)/2', 'C': 'C)(by−ay)/2', 'D': 'D)(ay+by)/x', 'E': 'E)(a−b)/2y'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution to the problem:

Step 1: We know that a>x>b>0>y, so we can say that a > x > b > 0 > y.

Step 2: The area of the triangle can be found using the formula (ay - by) / 2.

Step 3: Since a > x > b, we know that ay > xb.","the correct answer is option A: (ay - by) / 2.

Therefore, the correct answer is A: (ay - by) / 2.",C,False,short_chain,3
AQuA,"An athlete runs M miles in 4 hours, then rides a bike N miles in the same number of hours. Which of the following represents the average speed, in miles per hour, for these two activities combined?","{'A': 'A)M + N / 8', 'B': 'B)2M + N / 8', 'C': 'C)M + N / 4', 'D': 'D)M + 3N / 8', 'E': 'E)M + N / 5'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

Let's first calculate the total distance covered in 4 hours for running and cycling separately:

For running: M miles in 4 hours = M/4 miles per hour

For cycling: N miles in 4 hours = N/4 miles per hour

Now, let's combine the two speeds:

Total distance covered in 4 hours = (M/4) + (N/4)

To find the average speed, we add the two speeds and divide by the total distance covered:

Average speed = (M/4) + (N/4) / (M/4 + N/4)

Simplifying, we get:

Average speed = (M + N)/8 miles per hour",the correct answer is option B: 2M + N/8 miles per hour.,A,False,short_chain,1
AQuA,Anna is able to buy 5 more articles for $300 after the price of each article decreased by 15%. What is the new selling price of each article?,"{'A': 'A)$8', 'B': 'B)$10', 'C': 'C)$13.6', 'D': 'D)$22.9', 'E': 'E)$40'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

Let's say the original price of each article was x dollars.

After a 15% discount, the new price would be:

x - (15% of x) = x - (0.15x) = x - 0.15x = 0.85x

So, the new price of each article is 85% of the original price.

Now, Anna can buy 5 more articles for $300, so we can set up an equation:

5 x 0.85 = 300

Solving for x, we get:

x = 375

So, the original price of each article was $375, and after a 15% discount, the new price is $300.",The correct answer is option C): $13.6.,C,True,short_chain,3
AQuA,A shopkeeper in order to promote his new shop put a discount of 20% on all the items for one day. Now he must sell the items at original price the other day. By what percentage must he increase the price to original?,"{'A': 'A)21%', 'B': 'B)20%', 'C': 'C)25%', 'D': 'D)33%', 'E': 'E)18%'}","Let's think this through step by step, but keep it brief.","Sure! Let's work through this problem together.

So, the shopkeeper had a 20% discount on all items for one day, which means he sold each item for 80% of its original price (100% - 20%).

Now, he wants to sell the same items at their original price the next day. To do this, he needs to increase the price by the amount of the discount, which was 20%.

So, if the original price of an item was $100, it would be:

$100 x 1.20 = $120","the new price of the item after the discount is $120. To find out by what percentage the shopkeeper must increase the price to original, we can divide the amount of the discount (20%) by 100:

(20%)/100 = 0.20

To convert this to a percentage increase, we multiply by 100:

0.20 x 100 = 20%

So, the shopkeeper must increase the price of each item by 20% to its original price. The correct answer is option B: 20%.",C,False,short_chain,2
AQuA,"A box contains a certain number of balls, marked successively from 1 to n. If there are 45 different ways that two balls can be selected from the box such that the ball with number 3 marked on it is not selected, then what is the value of n?","{'A': 'A)11', 'B': 'B)10', 'C': 'C)9', 'D': 'D)8', 'E': 'E)7'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

There are 45 different ways to select two balls from the box without selecting the ball with number 3 marked on it. This is because we can choose the first ball in $n$ ways (since there are $n$ balls in total), and then we can choose the second ball in $n-1$ ways (since we have already selected one ball).","the total number of ways to select two balls is $n\times(n-1)=n^2-n$.

Since there are 45 different ways to select two balls, we must have:

$$ n^2-n = 45 $$

Simplifying this equation, we get:

$$ n(n-1) = 45 $$

Now, we can solve for $n$:

$$ n = \frac{45}{n-1} = 9 $$

Therefore, the value of $n$ is 9. The correct answer is C: 9.",A,False,short_chain,1
AQuA,"At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?","{'A': 'A)4,000', 'B': 'B)4,200', 'C': 'C)4,500', 'D': 'D)4,800', 'E': 'E)5,000'}","Let's think this through step by step, but keep it brief.","Sure! Let's work through this problem together.

First, we know that 10% of the staplers produced on Monday were defective, so we can assume that 10% of 4,000 staplers (the total number produced) were defective. This means that 400 staplers were defective (10% of 4,000).

Next, we know that 2% of the non-defective staplers were rejected by mistake. Since there were 3,600 non-defective staplers (4,000 - 400), 2% of them were rejected, which is 72 staplers (2% of 3,600).

Now, we need to find out how many staplers were produced in total. We know that the number of defective staplers is 400, and the number of non-defective staplers rejected was 72. So, the total number of staplers produced on Monday is:

4,000 + 400 + 72 = 4,872","the correct answer is option C: 4,500.",A,False,short_chain,3
AQuA,"Three friends Alan, Roger and Peter attempt to answer a question on an exam. Alan randomly guesses the answer, giving him a 1/5 probability of guessing correctly. Roger cheats by looking at the paper of the student in front of him, giving him a 2/3 probability of answering correctly. And Peter dutifully performs the calculations, then marks the answer, giving him a 5/6 probability of a correct answer. What is the probability that the question is answered correctly, but not via cheating?","{'A': 'A)1/18', 'B': 'B)1/9', 'C': 'C)23/90', 'D': 'D)5/18', 'E': 'E)13/45'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

Let's consider the following events:

Event A: Alan guesses correctly.
Event B: Roger answers correctly without cheating.
Event C: Peter answers correctly via calculation.

We know that Event A has a probability of 1/5, Event B has a probability of 2/3, and Event C has a probability of 5/6.

Now, we need to find the probability that the question is answered correctly but not via cheating (i.e., not using Event B). This can be done by finding the intersection of Events A and C:

P(correct answer | not cheating) = P(A ∩ C)
= P(A) × P(C)
= (1/5) × (5/6)
= 1/9","So, the probability that the question is answered correctly but not via cheating is 1/9. The correct answer is B.",A,False,short_chain,1
AQuA,"The number of water lilies on a certain lake doubles every two days. If there is exactly one water lily on the lake, it takes 60 days for the lake to be fully covered with water lilies. In how many days will the lake be fully covered with lilies, if initially there were 64 water lilies on it?","{'A': 'A)15', 'B': 'B)28', 'C': 'C)30', 'D': 'D)53', 'E': 'E)59'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

Let's assume there are x water lilies on the lake initially (where x is any positive integer).

Since the number of water lilies doubles every two days, after 2 days, there will be 2x water lilies on the lake.

After another 2 days, there will be 4x water lilies on the lake.

And after another 2 days (i.e., a total of 6 days), the lake will be fully covered with water lilies.

So, we need to find out how many water lilies there would be on the lake after 6 days, given that there were initially 64 water lilies.

We can do this by substituting x = 64 into the equation above:

4x = 4(64) = 256","after 6 days, there will be 256 water lilies on the lake.

So, the correct answer is C) 30.",D,False,short_chain,1
AQuA,"What should come in place of the question mark(?) in each of the following questions ?
a2 - b2/(a + b)2 (?)=(a - b)2","{'A': 'A)(a + b)(a - b)', 'B': 'B)(a - b)2', 'C': 'C)(a + b)2', 'D': 'D)a3 + b3', 'E': 'E)None of these'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

The given expression is a2 - b2/(a + b)2.

We can rewrite it as a2 - (b2)/(a + b)2.

Now, we can factor out the greatest common divisor (GCD) of a and b, which is 1:

a2 - b2 = (a - b)(a + b)","So, the correct answer is option A: (a + b)(a - b).",A,True,short_chain,2
AQuA,"An express electric train takes exact three seconds to enter tunnel which is 1 mile long.
If train is traveling at 120 mile an hour, how long will it take to pass completely through the tunnel ?","{'A': 'A)43 seconds', 'B': 'B)39 seconds', 'C': 'C)20 seconds', 'D': 'D)33 seconds', 'E': 'E)55 seconds'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

The train takes 3 seconds to enter the tunnel, so it spends 3 seconds accelerating from 0 to 120 miles per hour within the tunnel.
Since the tunnel is 1 mile long, the train travels at a constant speed of 120 miles per hour for 1 mile.","the total time taken by the train to pass completely through the tunnel is:
3 seconds + 1 mile/120 miles per hour = 3 seconds + 0.0083333333333333333333333333333333",D,True,short_chain,1
AQuA,"If there are 5,000 voters out of which 20% are not eligible to vote and there are two candidates contesting. The winning candidate won by 15% of the votes. What is the total number of votes he got ?","{'A': 'A)3267', 'B': 'B)2678', 'C': 'C)2797', 'D': 'D)2300', 'E': 'E)2781'}","Let's think this through step by step, but keep it brief.","Sure! Let's work through this problem step by step:

1. First, we know that 20% of the voters are not eligible to vote, so we need to subtract that from the total number of voters:
5000 - (20% of 5000) = 5000 - 1000 = 4000
2. Next, we know that the winning candidate won by 15% of the votes, so we need to subtract that from the total number of valid votes:
4000 - (15% of 4000) = 4000 - 600 = 3400
3.","the winning candidate got 3400 votes.

So, the correct answer is option C: 2797.",D,False,short_chain,3
AQuA,What is the units digit of 9^3-7?,"{'A': 'A)1', 'B': 'B)3', 'C': 'C)5', 'D': 'D)2', 'E': 'E)4'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

9^3 = 729

729 - 7 = 722

So, the units digit of 9^3-7 is 2.",the correct answer is C)5.,D,False,short_chain,1
AQuA,"If a subscription for 15 issues of a magazine costs $42.00 and represents a saving of 25 percent of the cover prices, what is the cover price per issue?","{'A': 'A)$7.73', 'B': 'B)$6.73', 'C': 'C)$5.73', 'D': 'D)$4.73', 'E': 'E)$3.73'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

If the subscription costs $42.00 and represents a 25% saving, then the cover price per issue can be calculated as follows:

Cover price per issue = Subscription cost / Number of issues
= $42.00 / 15
= $2.80",the correct answer is option C): $5.73.,E,False,short_chain,3
AQuA,At an election meeting 10 speakers are to address the meeting. The only protocol to be observed is that whenever they speak the pm should speak before the mp and the mp should speak before the mla. In how many ways can the meeting be held?,"{'A': 'A)10!/3', 'B': 'B)10!/6', 'C': 'C)10!/2', 'D': 'D)10!/4', 'E': 'E)10!/5'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

The meeting can be held in $10!/3$ ways since the PM speaks before the MP and the MP speaks before the MLA.",the correct answer is option A: $10!/3$.,B,False,short_chain,2
AQuA,8 man work for 6 days to complete a work. How many men are required to complete same work in 1/2 day.,"{'A': 'A)93 men', 'B': 'B)94 men', 'C': 'C)95 men', 'D': 'D)96 men', 'E': 'E)97 men'}","Let's think this through step by step, but keep it brief.","Sure! Let's analyze the given information:

1. 8 men can complete a work in 6 days.
2. We need to find out how many men are required to complete the same work in half a day (i.e., 3 days).

Now, let's think about how we can approach this problem:

Since we have 8 men working for 6 days, each man is working for 6/8 = 3/4 of a day.

To complete the same work in half a day (i.e., 3 days), we need to find out how many men are required to work for 3/4 of a day.",Can you take it from here and find the correct answer?,D,True,short_chain,2
AQuA,"A man borrows Rs.360 If he pays it back in 12 monthly installments of Rs.31.50, what is his interest rate?","{'A': 'A)1.5%', 'B': 'B)4.5%', 'C': 'C)10%', 'D': 'D)5%', 'E': 'E)12%'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

The total amount borrowed is Rs.360.

The monthly installment paid by the borrower is Rs.31.50.

There are 12 monthly installments.

So, the total amount paid by the borrower over 12 months = 12 x Rs.31.50 = Rs.378

The interest charged by the lender on the borrowed amount can be calculated as follows:

Interest = (Total amount borrowed - Total amount paid back) / Number of installments
= (Rs.360 - Rs.378) / 12
= (Rs.12) / 12
= 1%

So, the interest rate charged by the lender is 1%.",the correct answer is option A: 1.5%.,D,False,short_chain,3
AQuA,"Kevin drove from A to B at a constant speed of 70 mph. Once he reached B, he turned right around with pause, and returned to A at a constant speed of 90 mph. Exactly 3 hours before the end of his trip, he was still approaching B, only 70 miles away from it. What is the distance between A and B?","{'A': 'A)180', 'B': 'B)90', 'C': 'C)270', 'D': 'D)360', 'E': 'E)None of the above'}","Let's think this through step by step, but keep it brief.","Sure! Here's the solution:

Let's call the distance between A and B ""d"".

1. Since Kevin drove at a constant speed of 70 mph, he covered d/70 miles in one hour.
2. He spent 3 hours approaching B before turning around, so he covered 3 \* (d/70) miles.
3. After turning around, he drove back to A at a constant speed of 90 mph, covering the remaining distance in d/90 miles.

Now, we can set up an equation based on these observations:

3 \* (d/70) + (d/90) = 360 (since he spent exactly 3 hours before the end of his trip)

Simplifying and solving for d, we get:

d = 270 miles",the distance between A and B is 270 miles. The correct answer is C.,A,True,short_chain,3
AQuA,"Train ‘A’ leaves Mumbai Central for Lucknow at 11 am, running at the speed of 40 kmph. Train ‘B’ leaves Mumbai Central for Lucknow by the same route at 2 pm on the same day, running at the speed of 72 kmph. At what time will the two trains meet each other?","{'A': 'A)12 am on the next day', 'B': 'B)5 am on the next day', 'C': 'C)5 pm on the next day', 'D': 'D)2 pm on the next day', 'E': 'E)None of these'}","Let's think this through step by step, but keep it brief.","Sure! Let's solve this problem step by step:

1. We know that Train A leaves Mumbai Central at 11 am and runs at a speed of 40 kmph. So, it will cover a distance of 720 km in:

720 km / 40 kmph = 18 hours","Train A will reach Lucknow at 11 am + 18 hours = 5 pm on the same day.

2. We know that Train B leaves Mumbai Central at 2 pm and runs at a speed of 72 kmph. So, it will cover a distance of 720 km in:

720 km / 72 kmph = 10 hours

Therefore, Train B will reach Lucknow at 2 pm + 10 hours = 12 am on the next day (since the journey takes 10 hours more than Train A).

Now, we need to find when the two trains meet each other. We know that Train A reaches Lucknow at 5 pm and Train B reaches Lucknow at 12 am on the next day. So, they will meet each other at:

5 pm + 12 am (next day) = 7 am (next day)

Therefore, the correct answer is option 'C': 5 pm on the day.",A,True,short_chain,1
